Subject Number,Country,Site,Date,Time,Civilian,Date of Birth,Age (Years),Birth State,Occupation,Education,Number of Children,Fitness,Car Make,Car Year,Car Model,Gender,Race,Reported Height (cm),Reported Height (in),Reported Weight (kg),Reported Weight (lbs),Subgroup Number,Marital Status,Family Income IT,Shoe Size IT,Jacket Size IT,Pants Size Waist IT,Pants Size Waist,Pants Size Inseam IT,Pants Size Inseam,Blouse Size,Pants Size Woman IT,Bra Size
4012,Italy,Genoa1 IT,27/03/2001,03:50:04,Yes,09/02/1983,18.1,Liguria,Student,Middle School,0,2-3,No Response,,No Response,Female,Italy/Italian,165.00,64.96,58.00,127.87,0,Single,No Response,38.0,,,,,,Med,44,34a
4013,Italy,Genoa1 IT,27/03/2001,04:08:08,Yes,15/05/1982,18.9,No Response,Student,Middle School,0,2-3,No Response,,No Response,Female,Italy/Other,173.00,68.11,58.00,127.87,0,Single,No Response,39.5,,,,,,Med,44,32a
4014,Italy,Genoa1 IT,27/03/2001,04:35:59,Yes,22/03/1972,29.0,Liguria,Other Specialty Occupation,Technical Training,0,4-6,Fiat,1993,Economy,Female,Italy/Italian,168.00,66.14,58.00,127.87,0,Single,Don't Know,38.0,,,,,,Sm,42,32b
4015,Italy,Genoa1 IT,27/03/2001,09:07:00,Yes,11/02/1977,24.1,Liguria,Other Specialty Occupation,Some College,0,4-6,Other,1992,Economy,Female,Italy/Italian,164.00,64.57,53.00,116.84,0,Single,Don't Know,38.0,,,,,,Med,40,34a
4016,Italy,Genoa1 IT,28/03/2001,06:08:45,Yes,29/09/1972,28.5,Liguria,Administrative Support,Masters,0,2-3,No Response,,No Response,Female,Italy/Italian,170.00,66.93,56.00,123.46,0,Single,No Response,38.5,,,,,,Med,42,34b
4017,Italy,Genoa1 IT,28/03/2001,06:17:09,Yes,24/07/1972,28.7,Liguria,Student,Some College,0,2-3,No Response,,No Response,Female,Italy/Italian,165.00,64.96,63.50,139.99,0,Single,Don't Know,39.0,,,,,,Med,44,34c
4018,Italy,Genoa1 IT,28/03/2001,06:22:31,Yes,24/05/1954,46.8,Liguria,Other Specialty Occupation,Technical Training,2,More than 10,Other,1999,Van,Male,Italy/Italian,169.00,66.54,74.00,163.14,0,Married,No Response,41.0,50,80,31.5,76,29.9,,,
4019,Italy,Genoa1 IT,28/03/2001,08:19:07,Yes,27/10/1961,39.4,Not Born in Italy,Classroom Teacher,Masters,0,4-6,Fiat,1987,Economy,Male,Italy/Other,170.00,66.93,78.00,171.96,0,Single,No Response,42.0,52,Don't Know,Don't Know,73.5,28.9,,,
4020,Italy,Genoa1 IT,29/03/2001,02:24:11,Yes,16/02/1964,37.1,Liguria,Management,Masters,0,0-1,Fiat,1993,Compact,Female,Italy/Italian,165.00,64.96,60.00,132.28,0,Married,80MLira-100MLira,38.0,,,,,,Med,44,Don't Know
4021,Italy,Genoa1 IT,29/03/2001,02:31:01,Yes,23/10/1971,29.4,Liguria,Other Specialty Occupation,Some College,0,2-3,Fiat,2000,Compact,Male,Italy/Italian,177.00,69.69,80.00,176.37,0,Single,No Response,40.0,50,No Response,No Response,No Response,No Response,,,
4022,Italy,Genoa1 IT,29/03/2001,05:28:06,Yes,22/08/1974,26.6,Sardegna,Other Specialty Occupation,Associates,0,2-3,Don't Know,,Don't Know,Female,Italy/Italian,150.00,59.06,46.00,101.41,0,Single,Don't Know,36.0,,,,,,Sm,40,34d
4023,Italy,Genoa1 IT,29/03/2001,06:58:16,Yes,05/06/1971,29.8,Liguria,Administrative Support,High School,0,0-1,Fiat,1999,Economy,Female,Italy/Italian,164.00,64.57,58.00,127.87,0,Married,30MLira-44.9MLira,38.0,,,,,,Sm,42,34b
4024,Italy,Genoa1 IT,29/03/2001,07:54:40,Yes,29/08/1977,23.6,Liguria,Administrative Support,High School,0,2-3,Volkswagen,1996,Don't Know,Female,Italy/Italian,154.00,60.63,45.00,99.21,0,Single,30MLira-44.9MLira,36.0,,,,,,Sm,38,Don't Know
4025,Italy,Genoa1 IT,29/03/2001,08:04:57,Yes,16/10/1964,36.4,Liguria,Other Specialty Occupation,Masters,0,4-6,Fiat,1994,Station Wagon,Male,Italy/Italian,168.00,66.14,66.00,145.51,0,Married,30MLira-44.9MLira,40.0,48,85,33.5,71,28.0,,,
4026,Italy,Genoa1 IT,30/03/2001,07:23:25,Yes,03/10/1964,36.5,Liguria,Other Specialty Occupation,Technical Training,0,0-1,Other,1994,Intermediate,Male,Italy/Italian,186.00,73.23,82.00,180.78,0,Single,No Response,42.0,52,80,31.5,88.5,34.8,,,
4027,Italy,Genoa1 IT,30/03/2001,08:06:59,Yes,16/03/1974,27.0,Liguria,Student,Some College,0,4-6,No Response,1981,Scooter,Male,Italy/Italian,178.00,70.08,74.00,163.14,0,Single,Don't Know,43.0,48,80,31.5,81,31.9,,,
4028,Italy,Genoa1 IT,30/03/2001,09:08:07,Yes,11/08/1972,28.6,Liguria,Administrative Support,High School,0,2-3,No Response,,No Response,Female,Italy/Italian,173.00,68.11,57.00,125.66,0,Single,No Response,40.0,,,,,,Sm,42,32b
4029,Italy,Genoa1 IT,30/03/2001,09:16:36,Yes,23/12/1980,20.3,Liguria,Student,Some College,0,4-6,No Response,,No Response,Female,Italy/Italian,167.00,65.75,56.00,123.46,0,Single,Don't Know,39.0,,,,,,Med,42,32b
4030,Italy,Genoa1 IT,03/04/2001,13:32:22,Yes,22/03/1977,24.0,Liguria,Administrative Support,Some College,0,More than 10,No Response,,No Response,Female,Italy/Italian,163.00,64.17,46.00,101.41,0,Single,Don't Know,37.5,,,,,,Sm,38,30 or Smaller
4031,Italy,Genoa1 IT,03/04/2001,13:49:37,Yes,13/11/1963,37.4,Friuli-Venezia Giulia,Classroom Teacher,Masters,2,0-1,Other,1995,Compact,Female,Italy/Italian,163.00,64.17,78.00,171.96,0,Married,100MLira-150MLira,37.5,,,,,,Med,52,36a
4032,Italy,Genoa1 IT,04/04/2001,09:04:43,Yes,22/09/1960,40.5,Liguria,Technician,Technical Training,1,2-3,Volkswagen,1997,Economy,Male,Italy/Italian,180.00,70.87,80.00,176.37,0,Married,No Response,41.0,48,85,33.5,83.5,32.9,,,
4033,Italy,Genoa1 IT,04/04/2001,12:25:40,Yes,03/02/1959,42.2,Lombardia,Other Specialty Occupation,Masters,0,4-6,Ford,2001,Sports Car,Female,Italy/Italian,169.00,66.54,53.00,116.84,0,Married,No Response,38.5,,,,,,Med,42,34a
4034,Italy,Genoa1 IT,04/04/2001,12:35:44,Yes,22/07/1975,25.7,Liguria,Degreed Engineer,Masters,0,6-10,Don't Know,,Don't Know,Female,Italy/Italian,173.00,68.11,67.00,147.71,0,Single,Don't Know,40.0,,,,,,Med,44,34b
4035,Italy,Genoa1 IT,04/04/2001,12:41:02,Yes,10/10/1972,28.5,Liguria,Other Specialty Occupation,Some College,0,2-3,Don't Know,,Don't Know,Male,Italy/Italian,183.00,72.05,88.00,194.01,0,Single,Don't Know,44 or Larger,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,,
4036,Italy,Genoa1 IT,04/04/2001,15:10:16,Yes,09/03/1954,47.1,Liguria,Administrator,High School,2,0-1,Mercedes-Benz,1999,Luxury,Male,Italy/Italian,170.00,66.93,71.00,156.53,0,Married,100MLira-150MLira,41.0,48,85,33.5,73.5,28.9,,,
4037,Italy,Genoa1 IT,05/04/2001,10:16:29,Yes,30/03/1983,18.0,Liguria,Student,Middle School,0,0-1,No Response,,No Response,Female,Italy/Italian,160.00,62.99,55.00,121.25,0,Single,Don't Know,37.5,,,,,,Sm,42,34b
4038,Italy,Genoa1 IT,05/04/2001,10:28:46,Yes,19/03/1983,18.0,Liguria,Student,Middle School,0,0-1,No Response,,No Response,Female,Italy/Italian,161.00,63.39,45.00,99.21,0,Single,Don't Know,38.5,,,,,,Sm,40,32a
4039,Italy,Genoa1 IT,05/04/2001,11:49:51,Yes,08/05/1967,33.9,Liguria,Student,Some College,0,0-1,Other,1992,Van,Male,Italy/Italian,179.00,70.47,75.00,165.35,0,Single,Don't Know,42.0,50,Don't Know,Don't Know,Don't Know,Don't Know,,,
4040,Italy,Genoa1 IT,05/04/2001,13:06:41,Yes,11/04/1981,20.0,Liguria,Student,Middle School,0,0-1,No Response,,No Response,Female,Italy/Italian,170.00,66.93,57.00,125.66,0,Single,No Response,37.5,,,,,,Sm,44,30 or Smaller
4041,Italy,Genoa1 IT,05/04/2001,15:07:02,Yes,07/03/1983,18.1,Liguria,Student,Middle School,0,2-3,No Response,,No Response,Female,Italy/Italian,158.00,62.20,50.00,110.23,0,Single,Don't Know,36.0,,,,,,Sm,40,30 or Smaller
4042,Italy,Genoa1 IT,05/04/2001,15:15:35,Yes,31/08/1971,29.6,Liguria,Computer Programmer/Software Engineer,Some College,0,2-3,Fiat,1990,Economy,Male,Italy/Other,176.00,69.29,60.00,132.28,0,Single,30MLira-44.9MLira,41.0,48,75 or Smaller,29.5,68.5,27.0,,,
4043,Italy,Genoa1 IT,05/04/2001,16:03:33,Yes,18/01/1983,18.2,Liguria,Student,Middle School,0,More than 10,No Response,,No Response,Female,Italy/Italian,171.00,67.32,63.00,138.89,0,Single,Don't Know,40.0,,,,,,Med,44,34a
4044,Italy,Genoa1 IT,06/04/2001,08:56:15,Yes,13/06/1943,57.8,Liguria,Retired,Technical Training,1,More than 10,No Response,,No Response,Male,Italy/Italian,181.00,71.26,85.00,187.39,0,Married,No Response,43.0,54,110,43.3,81,31.9,,,
4045,Italy,Genoa1 IT,06/04/2001,09:19:49,Yes,28/02/1963,38.1,Liguria,Supervisor,High School,1,2-3,Other,2001,Compact,Male,Italy/Italian,175.00,68.90,80.00,176.37,0,Married,60MLira-79.9MLira,40.5,50,95,37.4,76,29.9,,,
4046,Italy,Genoa1 IT,06/04/2001,10:51:47,No,07/09/1968,32.6,Sardegna,Other Specialty Occupation,High School,2,More than 10,Other,1993,Station Wagon,Male,Italy/Italian,173.00,68.11,80.00,176.37,0,Married,45MLira-59.9MLira,43.0,50,90,35.4,73.5,28.9,,,
4047,Italy,Genoa1 IT,06/04/2001,11:19:38,Yes,09/06/1953,47.8,Liguria,Administrative Support,Some College,0,2-3,BMW,1990,Luxury,Male,Italy/Italian,169.00,66.54,68.00,149.91,0,Divorced,Don't Know,41.0,48,85,33.5,73.5,28.9,,,
4048,Italy,Genoa1 IT,10/04/2001,08:58:36,Yes,27/07/1967,33.7,Liguria,Administrative Support,Masters,2,0-1,Other,1996,Station Wagon,Male,Italy/Italian,174.00,68.50,74.00,163.14,0,Married,60MLira-79.9MLira,42.5,50,90,35.4,76,29.9,,,
4049,Italy,Genoa1 IT,10/04/2001,09:09:28,Yes,16/02/1941,60.1,Liguria,Sales/Marketing,Associates,2,6-10,Fiat,2001,Economy,Female,Italy/Italian,160.00,62.99,72.00,158.73,0,Widowed,20MLira-29.9MLira,37.0,,,,,,XL,48,36d
4050,Italy,Genoa1 IT,10/04/2001,10:16:37,Yes,24/09/1941,59.5,Liguria,Administrative Support,Technical Training,0,6-10,Volkswagen,1998,Intermediate,Male,Italy/Italian,170.00,66.93,69.50,153.22,0,Married,No Response,42.0,48,90,35.4,73.5,28.9,,,
4051,Italy,Genoa1 IT,10/04/2001,14:49:52,Yes,21/02/1955,46.1,Liguria,Administrative Support,Some College,1,More than 10,Other,1998,Compact,Male,Italy/Italian,188.00,74.02,100.00,220.46,0,Married,45MLira-59.9MLira,44 or Larger,54,110,43.3,83.5,32.9,,,
4052,Italy,Genoa1 IT,10/04/2001,16:05:30,Yes,03/04/1955,46.0,Liguria,Administrative Support,Some College,1,6-10,Other,1994,Economy,Male,Italy/Italian,168.00,66.14,78.00,171.96,0,Married,No Response,42.0,52,95,37.4,71,28.0,,,
4053,Italy,Genoa1 IT,10/04/2001,16:57:34,Yes,21/04/1965,36.0,Liguria,Administrative Support,Technical Training,0,More than 10,Fiat,1999,Economy,Male,Italy/Italian,173.00,68.11,70.00,154.32,0,Single,20MLira-29.9MLira,42.0,50,80,31.5,73.5,28.9,,,
4054,Italy,Genoa1 IT,10/04/2001,13:08:21,Yes,10/10/1977,23.5,Liguria,Material Handler,High School,0,No Response,No Response,,No Response,Male,Italy/Italian,168.00,66.14,64.00,141.10,0,Single,No Response,42.5,Don't Know,85,33.5,71,28.0,,,
4055,Italy,Genoa1 IT,10/04/2001,17:50:31,Yes,21/08/1982,18.6,Liguria,Student,No Response,0,6-10,No Response,,No Response,Female,Italy/Italian,167.00,65.75,,,0,Single,Don't Know,37.0,,,,,,Med,48,34c
4056,Italy,Genoa1 IT,10/04/2001,18:13:55,Yes,22/10/1962,38.5,Liguria,Administrative Support,Some College,0,2-3,Fiat,1999,Station Wagon,Male,Italy/Italian,178.00,70.08,85.00,187.39,0,Single,45MLira-59.9MLira,44 or Larger,52,105,41.3,73.5,28.9,,,
4057,Italy,Genoa1 IT,11/04/2001,08:01:34,Yes,04/06/1970,30.9,Liguria,Other Specialty Occupation,High School,No Response,4-6,Ford,1997,Don't Know,Male,Italy/Italian,177.00,69.69,87.00,191.80,0,Married,No Response,43.0,54,95,37.4,Don't Know,Don't Know,,,
4058,Italy,Genoa1 IT,11/04/2001,08:23:04,Yes,30/10/1944,56.4,Piemonta,Other Specialty Occupation,Masters,2,0-1,Fiat,1990,Economy,Male,Italy/Italian,162.00,63.78,62.00,136.69,0,Married,45MLira-59.9MLira,42.0,50,90,35.4,71,28.0,,,
4059,Italy,Genoa1 IT,11/04/2001,09:23:18,Yes,24/12/1982,18.3,Not Born in Italy,Student,Middle School,0,4-6,No Response,,No Response,Male,Italy/Other,160.00,62.99,54.00,119.05,0,Single,Don't Know,41.0,Don't Know,75 or Smaller,29.5,68.5,27.0,,,
4060,Italy,Genoa1 IT,11/04/2001,10:55:59,Yes,04/07/1980,20.8,Liguria,Administrative Support,Technical Training,0,More than 10,No Response,,No Response,Male,Italy/Italian,165.00,64.96,62.00,136.69,0,Single,30MLira-44.9MLira,41.0,48,85,33.5,71,28.0,,,
4061,Italy,Genoa1 IT,11/04/2001,14:19:20,Yes,13/08/1969,31.7,Liguria,Other Specialty Occupation,Technical Training,0,More than 10,Other,1998,Compact,Male,Italy/Italian,178.00,70.08,66.00,145.51,0,Single,Don't Know,43.0,50,90,35.4,78.5,30.9,,,
4062,Italy,Genoa1 IT,11/04/2001,14:45:18,Yes,26/09/1981,19.5,Liguria,Other Specialty Occupation,Technical Training,0,2-3,No Response,,No Response,Female,Italy/Italian,155.00,61.02,45.00,99.21,0,Single,Don't Know,36.0,,,,,,Sm,40,32b
4063,Italy,Genoa1 IT,11/04/2001,15:14:21,Yes,05/05/1971,29.9,Sicilia,Other Specialty Occupation,High School,0,4-6,Toyota,1991,Sports Car,Male,Italy/Italian,176.00,69.29,71.00,156.53,0,Single,20MLira-29.9MLira,42.0,48,85,33.5,76,29.9,,,
4064,Italy,Genoa1 IT,11/04/2001,17:07:43,Yes,24/04/1957,44.0,Liguria,Administrative Support,Masters,0,2-3,Toyota,1994,Sports Car,Male,Italy/Italian,176.00,69.29,70.00,154.32,0,Single,60MLira-79.9MLira,41.0,48,90,35.4,76,29.9,,,
4065,Italy,Genoa1 IT,11/04/2001,18:07:20,Yes,05/09/1965,35.6,Piemonta,Other Specialty Occupation,Associates,0,4-6,Other,1990,Scooter,Male,Italy/Italian,173.00,68.11,63.00,138.89,0,Single,20MLira-29.9MLira,40.0,48,85,33.5,73.5,28.9,,,
4066,Italy,Genoa1 IT,12/04/2001,09:24:17,Yes,03/03/1956,45.1,Not Born in Italy,Other Specialty Occupation,Associates,1,2-3,Volkswagen,1996,Economy,Male,Italy/Italian,185.00,72.83,74.00,163.14,0,Married,45MLira-59.9MLira,44 or Larger,52,90,35.4,83.5,32.9,,,
4067,Italy,Genoa1 IT,12/04/2001,15:42:43,Yes,08/11/1957,43.4,Liguria,Health Diagnosing Occupation,Middle School,1,0-1,Ford,1983,Economy,Male,Italy/Italian,170.00,66.93,58.00,127.87,0,Married,60MLira-79.9MLira,42.0,48,80,31.5,71,28.0,,,
4068,Italy,Genoa1 IT,12/04/2001,15:55:50,Yes,24/07/1947,53.7,Liguria,Administrative Support,Technical Training,1,More than 10,Nissan,1996,Economy,Male,Italy/Italian,177.00,69.69,87.00,191.80,0,Divorced,45MLira-59.9MLira,43.0,54,100,39.4,76,29.9,,,
4069,Italy,Genoa1 IT,13/04/2001,09:11:04,No,30/06/1965,35.8,Liguria,Other Specialty Occupation,Middle School,0,0-1,Other,2001,Compact,Male,Italy/Italian,173.00,68.11,90.00,198.42,0,Married,45MLira-59.9MLira,43.0,52,100,39.4,73.5,28.9,,,
4070,Italy,Genoa1 IT,13/04/2001,14:59:50,Yes,22/04/1970,31.0,Liguria,Administrative Support,Masters,0,2-3,No Response,,No Response,Female,Italy/Italian,160.00,62.99,52.00,114.64,0,Single,Don't Know,37.5,,,,,,Sm,42,34c
4071,Italy,Genoa1 IT,13/04/2001,15:30:15,Yes,15/12/1973,27.3,Liguria,Administrative Support,High School,0,6-10,Lancia,2000,Intermediate,Male,Italy/Italian,176.00,69.29,63.00,138.89,0,Single,No Response,42.0,48,85,33.5,73.5,28.9,,,
4072,Italy,Genoa1 IT,19/04/2001,10:10:34,Yes,26/06/1968,32.8,Liguria,Other Specialty Occupation,High School,1,6-10,No Response,,No Response,Female,Italy/Italian,153.00,60.24,46.00,101.41,0,Divorced,Less than 10MLira,36.0,,,,,,Sm,40,32b
4073,Italy,Genoa1 IT,19/04/2001,16:36:38,Yes,27/08/1975,25.6,Liguria,Other Specialty Occupation,Middle School,0,6-10,Don't Know,,Don't Know,Male,Italy/Italian,185.00,72.83,65.00,143.30,0,Single,Don't Know,44 or Larger,48,75 or Smaller,29.5,78.5,30.9,,,
4074,Italy,Genoa1 IT,20/04/2001,11:12:26,Yes,04/05/1948,53.0,Lombardia,Degreed Engineer,Masters,2,4-6,Other,1999,Economy,Male,Italy/Italian,168.00,66.14,73.00,160.94,0,Divorced,60MLira-79.9MLira,40.0,50,90,35.4,71,28.0,,,
4075,Italy,Genoa1 IT,21/04/2001,10:23:34,Yes,02/09/1968,32.6,Liguria,Degreed Engineer,Masters,0,0-1,Ford,1993,Economy,Male,Italy/Italian,165.00,64.96,54.00,119.05,0,Married,60MLira-79.9MLira,39.0,46 or Smaller,80,31.5,71,28.0,,,
4076,Italy,Genoa1 IT,21/04/2001,10:47:07,Yes,01/02/1972,29.2,Liguria,Administrative Support,High School,0,0-1,Ford,1993,Economy,Female,Italy/Italian,152.00,59.84,39.00,85.98,0,Married,No Response,36.0,,,,,,"X-Small,38",2,
4077,Italy,Genoa1 IT,21/04/2001,11:26:35,Yes,22/03/1956,45.1,Liguria,Computer Programmer/Software Engineer,Masters,1,2-3,Alfa Romeo,1997,Intermediate,Male,Italy/Italian,187.00,73.62,86.00,189.60,0,Married,60MLira-79.9MLira,44 or Larger,52,Don't Know,Don't Know,Don't Know,Don't Know,,,
4078,Italy,Genoa1 IT,21/04/2001,12:43:45,Yes,03/07/1972,28.8,Liguria,Administrative Support,Some College,0,4-6,Fiat,1996,Sports Car,Male,Italy/Italian,170.00,66.93,57.00,125.66,0,Single,Don't Know,39.0,46 or Smaller,75 or Smaller,29.5,73.5,28.9,,,
4079,Italy,Genoa1 IT,24/04/2001,11:02:03,Yes,17/11/1955,45.4,Puglie,Classroom Teacher,High School,1,0-1,Other,1996,Economy,Female,Italy/Italian,160.00,62.99,66.00,145.51,0,Married,60MLira-79.9MLira,38.0,,,,,,Med,48,36b
4080,Italy,Genoa1 IT,24/04/2001,11:11:49,Yes,15/08/1951,49.7,Piemonta,Other Specialty Occupation,Technical Training,1,0-1,Other,1995,Station Wagon,Male,Italy/Italian,175.00,68.90,91.00,200.62,0,Married,80MLira-100MLira,42.0,54,105,41.3,78.5,30.9,,,
4081,Italy,Genoa1 IT,24/04/2001,12:53:19,Yes,26/06/1954,46.8,Liguria,Management,Masters,0,0-1,Mercedes-Benz,1992,Luxury,Male,Italy/Italian,172.00,67.72,78.00,171.96,0,Married,Over 150MLira,41.0,50,95,37.4,81,31.9,,,
4082,Italy,Genoa1 IT,24/04/2001,13:17:36,Yes,31/07/1975,25.7,Liguria,Administrative Support,High School,No Response,2-3,Fiat,1999,Sports Car,Male,Italy/Italian,179.00,70.47,61.00,134.48,0,Single,No Response,41.5,48,80,31.5,73.5,28.9,,,
4083,Italy,Genoa1 IT,24/04/2001,16:20:49,Yes,24/04/1972,29.0,Liguria,Administrative Support,High School,0,2-3,Alfa Romeo,2001,Intermediate,Male,Italy/Italian,180.00,70.87,84.00,185.19,0,Married,30MLira-44.9MLira,44 or Larger,50,95,37.4,76,29.9,,,
4084,Italy,Genoa1 IT,24/04/2001,16:59:35,Yes,21/12/1973,27.3,Lombardia,Administrative Support,High School,0,2-3,Volkswagen,1998,Economy,Female,Italy/Italian,160.00,62.99,49.00,108.03,0,Married,No Response,35.5,,,,,,Sm,40,30 or Smaller
4085,Italy,Genoa1 IT,26/04/2001,08:54:54,Yes,03/03/1978,23.1,Piemonta,Student,Some College,0,6-10,No Response,,No Response,Female,Italy/Italian,165.00,64.96,52.00,114.64,0,Single,No Response,37.0,,,,,,Sm,42,34a
4086,Italy,Genoa1 IT,26/04/2001,09:36:11,Yes,09/10/1978,22.5,Piemonta,Student,Some College,0,More than 10,Alfa Romeo,1998,Sports Car,Female,Italy/Italian,168.00,66.14,56.00,123.46,0,Single,Don't Know,39.5,,,,,,Med,42,34c
4087,Italy,Genoa1 IT,26/04/2001,17:23:15,Yes,07/08/1964,36.7,Liguria,Classroom Teacher,High School,1,2-3,Toyota,1998,Van,Female,Italy/Italian,170.00,66.93,76.00,167.55,0,Married,No Response,39.0,,,,,,XL,46,38c
4088,Italy,Genoa1 IT,27/04/2001,09:07:22,Yes,20/05/1972,28.9,Liguria,Other Specialty Occupation,High School,0,4-6,No Response,,No Response,Male,Italy/Italian,174.00,68.50,84.00,185.19,0,Married,20MLira-29.9MLira,40.5,52,95,37.4,73.5,28.9,,,
4089,Italy,Genoa1 IT,27/04/2001,10:45:22,Yes,21/09/1975,25.6,Liguria,Other Specialty Occupation,Masters,0,6-10,No Response,,No Response,Female,Italy/Italian,165.00,64.96,55.00,121.25,0,Single,45MLira-59.9MLira,37.0,,,,,,Med,44,32b
4090,Italy,Genoa1 IT,27/04/2001,11:07:32,Yes,13/05/1975,26.0,Liguria,Student,Some College,0,4-6,Don't Know,,Don't Know,Female,Italy/Italian,153.00,60.24,47.00,103.62,0,Single,Don't Know,37.0,,,,,,Sm,40,32a
4091,Italy,Genoa1 IT,27/04/2001,11:12:24,Yes,02/09/1958,42.7,Lazio,Sales/Marketing,Masters,1,0-1,Volkswagen,1995,Sports Car,Female,Italy/Italian,168.00,66.14,63.00,138.89,0,Divorced,80MLira-100MLira,38.0,,,,,,Med,44,34b
4092,Italy,Genoa1 IT,27/04/2001,14:02:56,Yes,22/03/1983,18.1,Liguria,Student,Middle School,0,4-6,Don't Know,,Don't Know,Female,Italy/Italian,161.00,63.39,52.00,114.64,0,Single,Don't Know,37.0,,,,,,Sm,42,32a
4093,Italy,Genoa1 IT,27/04/2001,14:14:48,Yes,28/05/1982,18.9,No Response,Student,Some College,0,4-6,Honda,1996,Full Size 4-Dr,Male,No Response,185.00,72.83,68.00,149.91,0,Single,No Response,43.0,No Response,No Response,No Response,No Response,No Response,,,
4094,Italy,Genoa1 IT,27/04/2001,14:33:14,Yes,03/02/1983,18.2,No Response,Student,Middle School,0,4-6,No Response,,Don't Know,Male,No Response,182.00,71.65,75.00,165.35,0,Single,Don't Know,42.0,Don't Know,80,31.5,81,31.9,,,
4095,Italy,Genoa1 IT,02/05/2001,17:27:24,No,30/12/1974,26.3,Liguria,Armed Services,Masters,0,More than 10,No Response,,No Response,Male,Italy/Italian,173.00,68.11,65.00,143.30,0,Single,30MLira-44.9MLira,43.5,48,85,33.5,73.5,28.9,,,
